variant_id,sku,product_name,option,on_hand_quantity,low_stock_threshold,reason
yv-eye-001-jet-black,,Fernwing Volume Mascara,Jet Black,100,10,initial inventory approved by admin
yv-eye-001-carbon-black,,Fernwing Volume Mascara,Carbon Black,100,10,initial inventory approved by admin
yv-eye-001-espresso-brown,,Fernwing Volume Mascara,Espresso Brown,100,10,initial inventory approved by admin
yv-eye-001-black-brown,,Fernwing Volume Mascara,Black Brown,100,10,initial inventory approved by admin
yv-eye-001-deep-burgundy,,Fernwing Volume Mascara,Deep Burgundy,100,10,initial inventory approved by admin
yv-eye-001-black-plum,,Fernwing Volume Mascara,Black Plum,100,10,initial inventory approved by admin
yv-eye-001-midnight-navy,,Fernwing Volume Mascara,Midnight Navy,100,10,initial inventory approved by admin
yv-eye-001-cobalt-blue,,Fernwing Volume Mascara,Cobalt Blue,100,10,initial inventory approved by admin
yv-eye-001-forest-green,,Fernwing Volume Mascara,Forest Green,100,10,initial inventory approved by admin
yv-eye-001-deep-violet,,Fernwing Volume Mascara,Deep Violet,100,10,initial inventory approved by admin
yv-eye-002-jet-black,,Nightbloom Lift Mascara,Jet Black,100,10,initial inventory approved by admin
yv-eye-002-carbon-black,,Nightbloom Lift Mascara,Carbon Black,100,10,initial inventory approved by admin
yv-eye-002-espresso-brown,,Nightbloom Lift Mascara,Espresso Brown,100,10,initial inventory approved by admin
yv-eye-002-black-brown,,Nightbloom Lift Mascara,Black Brown,100,10,initial inventory approved by admin
yv-eye-002-deep-burgundy,,Nightbloom Lift Mascara,Deep Burgundy,100,10,initial inventory approved by admin
yv-eye-002-black-plum,,Nightbloom Lift Mascara,Black Plum,100,10,initial inventory approved by admin
yv-eye-002-midnight-navy,,Nightbloom Lift Mascara,Midnight Navy,100,10,initial inventory approved by admin
yv-eye-002-cobalt-blue,,Nightbloom Lift Mascara,Cobalt Blue,100,10,initial inventory approved by admin
yv-eye-002-forest-green,,Nightbloom Lift Mascara,Forest Green,100,10,initial inventory approved by admin
yv-eye-002-deep-violet,,Nightbloom Lift Mascara,Deep Violet,100,10,initial inventory approved by admin
yv-eye-003-jet-black,,Softwing Tubing Mascara,Jet Black,100,10,initial inventory approved by admin
yv-eye-003-carbon-black,,Softwing Tubing Mascara,Carbon Black,100,10,initial inventory approved by admin
yv-eye-003-espresso-brown,,Softwing Tubing Mascara,Espresso Brown,100,10,initial inventory approved by admin
yv-eye-003-black-brown,,Softwing Tubing Mascara,Black Brown,100,10,initial inventory approved by admin
yv-eye-003-deep-burgundy,,Softwing Tubing Mascara,Deep Burgundy,100,10,initial inventory approved by admin
yv-eye-003-black-plum,,Softwing Tubing Mascara,Black Plum,100,10,initial inventory approved by admin
yv-eye-003-midnight-navy,,Softwing Tubing Mascara,Midnight Navy,100,10,initial inventory approved by admin
yv-eye-003-cobalt-blue,,Softwing Tubing Mascara,Cobalt Blue,100,10,initial inventory approved by admin
yv-eye-003-forest-green,,Softwing Tubing Mascara,Forest Green,100,10,initial inventory approved by admin
